perfil;shopping;genero;ranking;loja;valor;pct_valor;cupons;clientes
Premium;Balneário Shopping;Feminino;1;Zara;165406,25;92,19;291;207
Premium;Balneário Shopping;Feminino;2;VIVARA;4396,0;2,45;2;1
Premium;Balneário Shopping;Feminino;3;LE LIS BLANC DEUX;2069,9;1,15;1;1
Premium;Balneário Shopping;Feminino;4;Renner;1978,1999999999998;1,1;5;5
Premium;Balneário Shopping;Feminino;5;Lindt;1536,8899999999999;0,86;4;4
Premium;Balneário Shopping;Feminino;6;Adidas;999,99;0,56;1;1
Premium;Balneário Shopping;Feminino;7;Milon;908,5999999999999;0,51;2;2
Premium;Balneário Shopping;Feminino;8;Jorge Bischoff;873,5;0,49;1;1
Premium;Balneário Shopping;Feminino;9;Tania Bulhões;640,0;0,36;1;1
Premium;Balneário Shopping;Feminino;10;Via laser ;605,0;0,34;1;1
Premium;Balneário Shopping;Masculino;1;Zara;57482,15;82,34;81;50
Premium;Balneário Shopping;Masculino;2;Reserva;8150,0;11,67;4;4
Premium;Balneário Shopping;Masculino;3;Colcci;1484,0;2,13;1;1
Premium;Balneário Shopping;Masculino;4;Lindt;1335,3899999999999;1,91;4;3
Premium;Balneário Shopping;Masculino;5;Boiko;599,0;0,86;1;1
Premium;Balneário Shopping;Masculino;6;Usaflex;299,99;0,43;1;1
Premium;Balneário Shopping;Masculino;7;Adidas;199,89;0,29;1;1
Premium;Balneário Shopping;Masculino;8;L'Occitane En Provence;152,1;0,22;1;1
Premium;Balneário Shopping;Masculino;9;Panvel Farmácias;90,96;0,13;1;1
Premium;Balneário Shopping;Masculino;10;Centauro;19,99;0,03;1;1
Premium;Continente Shopping;Feminino;1;C&A;11958,33;42,93;30;20
Premium;Continente Shopping;Feminino;2;Claro;4241,6;15,23;2;2
Premium;Continente Shopping;Feminino;3;DEMOCRATA;3993,5;14,34;11;10
Premium;Continente Shopping;Feminino;4;TIM ;1998,0;7,17;1;1
Premium;Continente Shopping;Feminino;5;Polishop;1511,88;5,43;1;1
Premium;Continente Shopping;Feminino;6;FARM;1045,0;3,75;1;1
Premium;Continente Shopping;Feminino;7;Riachuelo;999,1999999999999;3,59;4;4
Premium;Continente Shopping;Feminino;8;Centauro;859,95;3,09;1;1
Premium;Continente Shopping;Feminino;9;Livrarias Catarinense;626,9200000000001;2,25;4;1
Premium;Continente Shopping;Feminino;10;Nike Unite;621,98;2,23;2;1
Premium;Continente Shopping;Masculino;1;Arezzo;2675,88;27,1;6;2
Premium;Continente Shopping;Masculino;2;DEMOCRATA;2527,9;25,6;7;7
Premium;Continente Shopping;Masculino;3;C&A;1475,8600000000001;14,95;6;5
Premium;Continente Shopping;Masculino;4;Bob's Sorvete - Quiosque;857,9000000000001;8,69;6;1
Premium;Continente Shopping;Masculino;5;Companhia da Moda;589,7;5,97;2;1
Premium;Continente Shopping;Masculino;6;JBay;458,61;4,65;1;1
Premium;Continente Shopping;Masculino;7;Kalunga;447,19;4,53;1;1
Premium;Continente Shopping;Masculino;8;Nike Unite;369,98;3,75;1;1
Premium;Continente Shopping;Masculino;9;Hering Store;269,97;2,73;1;1
Premium;Continente Shopping;Masculino;10;NEW ERA;199,9;2,02;1;1
Premium;Garten Shopping;Feminino;1;Magazine Luiza;9408,0;36,8;2;2
Premium;Garten Shopping;Feminino;2;IPLACE MOBILE;3021,0;11,82;1;1
Premium;Garten Shopping;Feminino;3;JCanedo;2197,94;8,6;1;1
Premium;Garten Shopping;Feminino;4;Samsung;1968,0;7,7;1;1
Premium;Garten Shopping;Feminino;5;Havan;1780,51;6,96;5;4
Premium;Garten Shopping;Feminino;6;Damyller;1775,0;6,94;2;2
Premium;Garten Shopping;Feminino;7;Makenji;1668,45;6,53;1;1
Premium;Garten Shopping;Feminino;8;Luiza Barcelos;1599,9;6,26;1;1
Premium;Garten Shopping;Feminino;9;Idéli Oui;1158,0;4,53;1;1
Premium;Garten Shopping;Feminino;10;Le Lis Blanc;989,9;3,87;1;1
Premium;Garten Shopping;Masculino;1;Maze Skate;1999,8000000000002;28,38;2;2
Premium;Garten Shopping;Masculino;2;Audithorium;1250,44;17,75;2;1
Premium;Garten Shopping;Masculino;3;MAZE;799,0;11,34;1;1
Premium;Garten Shopping;Masculino;4;NOHA SHOES;728,9;10,34;1;1
Premium;Garten Shopping;Masculino;5;Granado Phamácias;726,0;10,3;2;2
Premium;Garten Shopping;Masculino;6;Havan;599,79;8,51;2;1
Premium;Garten Shopping;Masculino;7;Polo Wear;384,91999999999996;5,46;3;2
Premium;Garten Shopping;Masculino;8;Pittol;239,6;3,4;2;1
Premium;Garten Shopping;Masculino;9;Calzedonia;239,2;3,39;1;1
Premium;Garten Shopping;Masculino;10;Havaianas;79,0;1,12;1;1
Premium;Nações Shopping;Feminino;1;Arezzo;619,8;36,86;1;1
Premium;Nações Shopping;Feminino;2;Luz da Lua;539,8;32,1;1;1
Premium;Nações Shopping;Feminino;3;Hope Nacoes Shopping;209,0;12,43;1;1
Premium;Nações Shopping;Feminino;4;O Boticário;202,07;12,02;1;1
Premium;Nações Shopping;Feminino;5;Lupo;64,0;3,81;1;1
Premium;Nações Shopping;Feminino;6;Americanas;46,95;2,79;1;1
Premium;Nações Shopping;Masculino;1;Polo Wear;1889,8500000000001;61,09;3;3
Premium;Nações Shopping;Masculino;2;Tabacaria El Patrono;1120,0;36,2;2;2
Premium;Nações Shopping;Masculino;3;Café Cultura;54,0;1,75;2;1
Premium;Nações Shopping;Masculino;4;Riachuelo;29,9;0,97;1;1
Premium;Neumarkt Shopping;Feminino;1;Motorola;8431,0;49,54;5;5
Premium;Neumarkt Shopping;Feminino;2;Renner;1923,31;11,3;4;3
Premium;Neumarkt Shopping;Feminino;3;Ótica Chroma ;1638,0;9,63;1;1
Premium;Neumarkt Shopping;Feminino;4;Cavezzale;1214,3;7,14;3;3
Premium;Neumarkt Shopping;Feminino;5;Centauro;1079,94;6,35;3;3
Premium;Neumarkt Shopping;Feminino;6;FARM;1057,5;6,21;1;1
Premium;Neumarkt Shopping;Feminino;7;Havan;619,93;3,64;2;2
Premium;Neumarkt Shopping;Feminino;8;Riachuelo;421,88;2,48;3;3
Premium;Neumarkt Shopping;Feminino;9;Pratafina;342,0;2,01;1;1
Premium;Neumarkt Shopping;Feminino;10;Lojas Americanas;289,04999999999995;1,7;3;3
Premium;Neumarkt Shopping;Masculino;1;Motorola;6136,2;94,93;2;2
Premium;Neumarkt Shopping;Masculino;2;Calvin Klein Jeans;328,0;5,07;1;1
Premium;Norte Shopping;Feminino;1;Tim;1999,0;35,4;1;1
Premium;Norte Shopping;Feminino;2;Casas Bahia;1899,0;33,63;1;1
Premium;Norte Shopping;Feminino;3;Reis Cell;899,0;15,92;1;1
Premium;Norte Shopping;Feminino;4;Polishop;649,76;11,51;2;2
Premium;Norte Shopping;Feminino;5;Havan;199,9;3,54;1;1
Premium;Norte Shopping;Masculino;1;Polishop;3026,64;52,59;1;1
Premium;Norte Shopping;Masculino;2;Casas Bahia;2599,0;45,16;1;1
Premium;Norte Shopping;Masculino;3;Polo Wear;129,99;2,26;1;1
VIP;Balneário Shopping;Feminino;1;Zara;575954,61;82,94;992;532
VIP;Balneário Shopping;Feminino;2;VIVARA;57456,34;8,27;15;13
VIP;Balneário Shopping;Feminino;3;Vivara;22237,0;3,2;5;5
VIP;Balneário Shopping;Feminino;4;Jorge Bischoff;11506,1;1,66;12;10
VIP;Balneário Shopping;Feminino;5;TIM;6499,0;0,94;1;1
VIP;Balneário Shopping;Feminino;6;Carter´s ;5549,0;0,8;10;8
VIP;Balneário Shopping;Feminino;7;Sephora;5526,110000000001;0,8;10;5
VIP;Balneário Shopping;Feminino;8;Reserva;3959,0;0,57;3;2
VIP;Balneário Shopping;Feminino;9;PANDORA;3285,5;0,47;2;2
VIP;Balneário Shopping;Feminino;10;OAKLEY;2467,4;0,36;2;1
VIP;Balneário Shopping;Masculino;1;Zara;95698,45;50,66;172;97
VIP;Balneário Shopping;Masculino;2;VIVARA;68611,0;36,32;9;6
VIP;Balneário Shopping;Masculino;3;Life Vivara;8235,0;4,36;1;1
VIP;Balneário Shopping;Masculino;4;Diesel;3785,0;2,0;1;1
VIP;Balneário Shopping;Masculino;5;Kipling;2328,0;1,23;1;1
VIP;Balneário Shopping;Masculino;6;OAKLEY;2314,0;1,23;1;1
VIP;Balneário Shopping;Masculino;7;Reserva;2296,0;1,22;1;1
VIP;Balneário Shopping;Masculino;8;Osklen;2200,96;1,17;1;1
VIP;Balneário Shopping;Masculino;9;Jorge Bischoff;1964,0;1,04;1;1
VIP;Balneário Shopping;Masculino;10;Track&Field;1459,4;0,77;1;1
VIP;Continente Shopping;Feminino;1;Vivara;61260,0;50,13;3;2
VIP;Continente Shopping;Feminino;2;Vivo;25597,0;20,95;1;1
VIP;Continente Shopping;Feminino;3;Altenburg;11020,5;9,02;1;1
VIP;Continente Shopping;Feminino;4;C&A;8579,97;7,02;45;24
VIP;Continente Shopping;Feminino;5;Ojo by mr.ray;5558,0;4,55;1;1
VIP;Continente Shopping;Feminino;6;DEMOCRATA;3948,2;3,23;12;11
VIP;Continente Shopping;Feminino;7;Arezzo;2692,84;2,2;5;3
VIP;Continente Shopping;Feminino;8;Livrarias Catarinense;1296,0;1,06;5;5
VIP;Continente Shopping;Feminino;9;Damyller ;1126,0;0,92;1;1
VIP;Continente Shopping;Feminino;10;Nike Unite;1125,91;0,92;7;7
VIP;Continente Shopping;Masculino;1;TIM ;42170,03;57,65;1;1
VIP;Continente Shopping;Masculino;2;iPlace Mobile;8443,0;11,54;2;2
VIP;Continente Shopping;Masculino;3;Claro;5907,0;8,08;2;1
VIP;Continente Shopping;Masculino;4;DEMOCRATA;5406,72;7,39;11;10
VIP;Continente Shopping;Masculino;5;Vivo;5299,0;7,24;1;1
VIP;Continente Shopping;Masculino;6;C&A;2273,59;3,11;10;7
VIP;Continente Shopping;Masculino;7;Maze Vale Comercio LTDA;1169,0;1,6;1;1
VIP;Continente Shopping;Masculino;8;Renner;1001,4;1,37;2;2
VIP;Continente Shopping;Masculino;9;Carioca Calçados;859,94;1,18;1;1
VIP;Continente Shopping;Masculino;10;Mc Donald's;621,5;0,85;1;1
VIP;Garten Shopping;Feminino;1;CVC;135866,48;79,35;5;5
VIP;Garten Shopping;Feminino;2;Bergerson;10960,0;6,4;1;1
VIP;Garten Shopping;Feminino;3;Samsung;8799,0;5,14;1;1
VIP;Garten Shopping;Feminino;4;Vivara ;8482,0;4,95;2;2
VIP;Garten Shopping;Feminino;5;Superlegal;1567,3600000000001;0,92;4;4
VIP;Garten Shopping;Feminino;6;Renner;1291,9;0,75;6;4
VIP;Garten Shopping;Feminino;7;Farm;1237,8;0,72;3;1
VIP;Garten Shopping;Feminino;8;Pittol;1190,43;0,7;3;3
VIP;Garten Shopping;Feminino;9;C&A;938,99;0,55;2;2
VIP;Garten Shopping;Feminino;10;La Mandinne;892,0;0,52;1;1
VIP;Garten Shopping;Masculino;1;CVC;26942,29;63,71;2;2
VIP;Garten Shopping;Masculino;2;Vivara ;7676,0;18,15;1;1
VIP;Garten Shopping;Masculino;3;Maze Skate;1849,8;4,37;2;1
VIP;Garten Shopping;Masculino;4;Farm;1564,0;3,7;1;1
VIP;Garten Shopping;Masculino;5;Audithorium;1509,5;3,57;1;1
VIP;Garten Shopping;Masculino;6;Idéli Oui;1168,0;2,76;1;1
VIP;Garten Shopping;Masculino;7;Renner;475,5;1,12;2;2
VIP;Garten Shopping;Masculino;8;Paquetá Esportes;414,98;0,98;1;1
VIP;Garten Shopping;Masculino;9;Bull Prime;365,87;0,87;1;1
VIP;Garten Shopping;Masculino;10;Cacau Show;322,6;0,76;2;2
VIP;Nações Shopping;Feminino;1;Criatiff;1249,91;65,21;1;1
VIP;Nações Shopping;Feminino;2;Tabacaria El Patrono;175,0;9,13;1;1
VIP;Nações Shopping;Feminino;3;Ri Happy;134,99;7,04;1;1
VIP;Nações Shopping;Feminino;4;Baummer;132,72;6,92;1;1
VIP;Nações Shopping;Feminino;5;Donna Mirô;79,02;4,12;3;1
VIP;Nações Shopping;Feminino;6;O Boticário;43,0;2,24;1;1
VIP;Nações Shopping;Feminino;7;JAH Açaí;31,18;1,63;1;1
VIP;Nações Shopping;Feminino;8;Riachuelo;29,9;1,56;1;1
VIP;Nações Shopping;Feminino;9;Panda Sushi;20,46;1,07;1;1
VIP;Nações Shopping;Feminino;10;Fini;20,45;1,07;1;1
VIP;Nações Shopping;Masculino;1;JCANEDO;2693,82;94,39;2;2
VIP;Nações Shopping;Masculino;2;Polo Wear;159,98;5,61;1;1
VIP;Neumarkt Shopping;Feminino;1;Vivara;20435,0;34,1;2;2
VIP;Neumarkt Shopping;Feminino;2;Motorola;8793,0;14,67;6;4
VIP;Neumarkt Shopping;Feminino;3;Havan;7023,02;11,72;10;8
VIP;Neumarkt Shopping;Feminino;4;TIM;6887,48;11,49;2;1
VIP;Neumarkt Shopping;Feminino;5;Claro;6338,0;10,58;2;2
VIP;Neumarkt Shopping;Feminino;6;Renner;3333,16;5,56;17;12
VIP;Neumarkt Shopping;Feminino;7;Swarovski;2116,0;3,53;3;2
VIP;Neumarkt Shopping;Feminino;8;LINDT;1862,24;3,11;8;6
